	Unnamed: 0	sequence	url	index	user	output	method	id	parameter	labels
0	0	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/listRoot/build?delay=0sec', 'http://192.168.56.103:8080/queue/cancelItem?id=2']	http://192.168.56.103:8080/	0		jenkins skip content log sign jenkins user password create account member yet	post	157		37
1	1	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/listRoot/build?delay=0sec', 'http://192.168.56.103:8080/queue/cancelItem?id=2']	http://192.168.56.103:8080/j_acegi_security_check	1	admin	dashboard build executor status master idle idle slave offline	post	157	(admin,adminPass)	64
2	2	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/listRoot/build?delay=0sec', 'http://192.168.56.103:8080/queue/cancelItem?id=2']	http://192.168.56.103:8080/job/listRoot/build?delay=0sec	2	admin	dashboard build executor status master idle idle slave offline	post	157		64
3	3	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/listRoot/build?delay=0sec', 'http://192.168.56.103:8080/queue/cancelItem?id=2']	http://192.168.56.103:8080/queue/cancelItem?id=2	3	admin	method allowed jenkins url requires post url trying access requires request sent using post like form submission button allows retry accessing url using post url accessed http queuecancelitem id sent untrusted source please proceed caution retry using post	post	157		-1
4	4	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/listRoot/build?delay=0sec']	http://192.168.56.103:8080/	0		jenkins skip content log sign jenkins user password create account member yet	post	158		37
5	5	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/listRoot/build?delay=0sec']	http://192.168.56.103:8080/j_acegi_security_check	1	user2	dashboard listroot build executor status master puter f xecutors w name last success last failure last duration w description build stability	post	158	(user2,user2Pass)	42
6	6	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/listRoot/build?delay=0sec']	http://192.168.56.103:8080/job/listRoot/build?delay=0sec	2	user2	dashboard listroot build executor status master puter f xecutors w name last success last failure last duration w description build stability	post	158		42
7	7	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/jobWithFileParam/', 'http://192.168.56.103:8080/job/jobWithFileParam/configure', 'http://192.168.56.103:8080/job/jobWithFileParam/configSubmit', 'http://192.168.56.103:8080/job/jobWithFileParam/build?delay=0sec', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/console', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/consoleText']	http://192.168.56.103:8080/	0		jenkins skip content log sign jenkins user password create account member yet	post	159		37
8	8	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/jobWithFileParam/', 'http://192.168.56.103:8080/job/jobWithFileParam/configure', 'http://192.168.56.103:8080/job/jobWithFileParam/configSubmit', 'http://192.168.56.103:8080/job/jobWithFileParam/build?delay=0sec', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/console', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/consoleText']	http://192.168.56.103:8080/j_acegi_security_check	1	admin	dashboard build executor status master idle idle slave offline	post	159	(admin,adminPass)	64
9	9	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/jobWithFileParam/', 'http://192.168.56.103:8080/job/jobWithFileParam/configure', 'http://192.168.56.103:8080/job/jobWithFileParam/configSubmit', 'http://192.168.56.103:8080/job/jobWithFileParam/build?delay=0sec', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/console', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/consoleText']	http://192.168.56.103:8080/job/jobWithFileParam/	2	admin	jobwithfileparam jobwithfileparam back dashboard status change workspace build delete project configure rename trend w description build stability	get	159		18
10	10	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/jobWithFileParam/', 'http://192.168.56.103:8080/job/jobWithFileParam/configure', 'http://192.168.56.103:8080/job/jobWithFileParam/configSubmit', 'http://192.168.56.103:8080/job/jobWithFileParam/build?delay=0sec', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/console', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/consoleText']	http://192.168.56.103:8080/job/jobWithFileParam/configure	3	admin	jobwithfileparam config jenkins close error skip content jenkins jobwithfileparam loading remove tab x general source code management build trigger build environment binding build postbuild action general description plain text previewhide preview discard old build loading strategy log rotation day keep build empty build record kept number day max build keep empty number build record kept advanced day keep artifact empty artifact build older number day deleted log history report etc build kept max build keep artifact empty number build artifact retained github project project url loading advanced display name loading project parameterized loading add parameter throttle build loading number build approximately ute build loading time period hourdayweekmonthyear loading allow user triggered build skip rate limit loading disable project loading execute concurrent build necessary loading restrict project run loading label expression loading advanced quiet period loading quiet period number second retry count loading scm checkout retry count block build upstream project building loading block build downstream project building loading use custom workspace loading directory custom workspace empty display name loading keep build log dependency loading source code management none git repository repository url please enter git repository loading credential none jenkins jenkins account master add jenkins advanced name loading refspec loading add repositorydelete repository loading branch build branch specifier blank loading add branchdelete branch repository browser auto assemblawebfisheyekilnmicrosoft team foundation servervisual studio team servicesbitbucketwebcgitgitblitgithubwebgitilesgitlabgitlistgitoriouswebgitwebgogsphabricatorredminewebrhodecodestashviewgit loading additional behaviour add subversion loading module repository url repository url required loading credential none jenkins jenkins account master add jenkins local module directory loading repository depth infinityemptyfilesimmediatesasitis checkout depth file asitis checkout depth infinity loading ignore external loading cancel process external fail loading delete add module additional credential add additional credential loading checkout strategy use svn update much possiblealways check fresh copydo touch working copy updated scriptemulate clean checkout first deleting unversionedignored file svn updateuse svn update much possible svn revert update use svn update whenever possible making build faster cause artifact previous build remain new build start quiet checkout loading repository browser auto assemblacollabnetfisheyephabricatorsvn websventon xsventon xviewsvnvisualsvnwebsvn loading advanced ignore property change directory loading excluded region loading included region loading excluded user loading excluded commit message loading exclusion revprop name loading filter changelog loading build trigger trigger build remotely eg script loading authentication token use following url trigger build remotely jenkins_urljobjobwithfileparambuild tokentoken_name buildwithparameters tokentoken_name optionally append causecausetext provide text included recorded build cause build project built loading project watch project specified trigger build stable trigger even build unstable trigger even build fails build periodically loading schedule schedule never run loading github hook trigger gitscm polling loading poll scm loading schedule schedule run due scm change triggered postcommit hook loading ignore postcommit hook loading build environment delete workspace build start advanced pattern file deleted add loading apply pattern also directory check parameter loading external deletion command loading disable deferred wipeout loading use secret text file loading binding add abort build stuck timeout strategy absolutedeadlineelasticlikely stuckno activity timeout minute loading loading timeout variable set build timeout environment variable timeout action add action loading add timestamps console output build add build step postbuild action add postbuild action saveapply	get	159		-1
11	11	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/jobWithFileParam/', 'http://192.168.56.103:8080/job/jobWithFileParam/configure', 'http://192.168.56.103:8080/job/jobWithFileParam/configSubmit', 'http://192.168.56.103:8080/job/jobWithFileParam/build?delay=0sec', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/console', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/consoleText']	http://192.168.56.103:8080/job/jobWithFileParam/configSubmit	4	admin	jobwithfileparam jobwithfileparam back dashboard status change workspace build delete project configure rename trend w description build stability	get	159		18
12	12	['http://192.168.56.103:8080/', 'http://192.168.56.103:8080/j_acegi_security_check', 'http://192.168.56.103:8080/job/jobWithFileParam/', 'http://192.168.56.103:8080/job/jobWithFileParam/configure', 'http://192.168.56.103:8080/job/jobWithFileParam/configSubmit', 'http://192.168.56.103:8080/job/jobWithFileParam/build?delay=0sec', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/console', 'http://192.168.56.103:8080/job/jobWithFileParam/lastBuild/consoleText']	http://192.168.56.103:8080/job/jobWithFileParam/build?delay=0sec	5	admin		get	159		52
